"","500","1000","2000","4000"
"1",12.1383670127861,17.277229494162,24.3297084609147,34.1500715271169
"2",12.1160724796245,17.2550105687901,23.2857331119051,34.3005730686305
"3",11.3584219358572,18.48557394614,24.5072517269427,34.0033784791278
"4",11.1465826025301,16.6328615772993,23.8920641675926,34.270079569609
"5",11.7860775920033,16.8593644310899,23.4361072298898,34.1122471368749
"6",12.1041731580115,16.6654911725715,23.5062230868229,33.8864281488211
"7",11.9585944568457,16.5527875792334,23.8033322003485,33.568699119335
"8",12.1081300329541,17.4348762189629,24.1032432274613,34.0865824935781
"9",11.9026196336549,16.9260493744657,24.4888342198668,33.8697041176317
"10",10.97076377412,16.9942628510402,24.5317666817775,34.1734514868923
"11",11.8900615912444,16.3580356553991,23.7679279797905,34.4137503651563
"12",11.6763095611736,16.8889914127544,23.6480350562131,34.2744144819168
"13",10.8457180365107,16.4492175116735,24.2294846595484,33.8025822563188
"14",12.1046782218931,16.0530161736196,23.3431202511765,34.4596194026431
"15",12.0798725895061,17.3001792104473,23.8558783780197,33.6553513430201
"16",11.7607530672494,16.7982251187054,24.5937343399906,33.1613292533961
"17",11.7666983275948,17.0337757346807,24.0572030322038,33.4798025155512
"18",11.2702956009873,17.1962999254443,24.1140883602624,33.613825184571
"19",11.6945715953437,16.6565556437559,24.4252404669002,34.2841501275988
"20",12.2129134756555,17.5795074613249,23.7071719838061,33.2345780505687
"21",12.3206751321223,16.3935558072289,24.1514075780209,33.9661994497203
"22",11.9210239346742,17.0017248091381,23.8979435984309,34.7704202541579
"23",12.4370603621328,16.9844231987414,24.6536485024299,33.583222245721
"24",11.5239957345393,16.5580324414202,24.3883531932018,33.6623639965374
"25",11.4251331631796,17.3732794045126,24.0706434894508,33.6596584527604
"26",11.5153012578941,16.6053276034022,23.7065647357524,33.9553997435487
"27",11.2591283865744,16.7911964284266,24.9398856396928,34.0935578256281
"28",11.3558910887166,16.3309048055163,23.9795769727901,34.4971059951306
"29",11.3762270906198,16.5543247079234,24.4809786301306,34.3709384453149
"30",12.0530484480944,17.3443738917819,23.6554719708123,34.266389494793
"31",12.6961828555873,16.4716420112423,24.183026898285,34.55589425246
"32",12.0552636786336,17.1185681034722,24.158017267406,34.0625649938694
"33",11.7977797003571,17.1530776112184,24.053797997913,34.5471891662677
"34",12.2364514235001,16.7808337683156,24.8221036878719,34.084970192179
"35",11.3621959999343,17.0900825850478,24.515746324648,33.771355122222
"36",11.2709090688505,17.7004194479335,24.6346191839641,33.908381011265
"37",11.6668801226008,17.1377613491226,23.7747046122109,33.757212830768
"38",12.2088369501492,17.0789326154866,23.7116277379661,34.3716107863268
"39",12.646331381004,16.1069319765141,24.187087508841,34.2185569593687
"40",11.1771517857692,17.3763640193243,24.144491985489,33.8577946203795
"41",12.2858410997509,16.8609874887414,23.1649813661285,32.983564176173
"42",12.1922748926101,16.7501647237912,23.3865085120327,34.1111691191707
"43",12.9618723699584,16.6189029946394,24.1706142076975,34.1804242843656
"44",11.3042523468528,16.7403003309468,23.6755171369787,34.6276875404043
"45",12.2614111028215,17.4967899597939,24.462350639939,33.2479071874727
"46",11.6011982707509,16.5159456443729,23.5836385032969,33.6960516576836
"47",12.4679191248561,17.0023592649014,24.3168716762626,34.0369772744984
"48",11.7667938132745,16.1575782712873,24.2801856277124,34.6703177540726
"49",11.8732691460811,16.9307919784262,23.9763987542428,34.3579650012777
"50",12.4806515452399,16.6135526910954,24.794555541144,33.9501279735719
"51",12.4837631039757,17.3033497625468,24.1375720743183,33.8036603032388
"52",11.8822023652622,16.964164528031,24.6014763950219,33.5700387218255
"53",11.1079072907525,16.7350985387712,23.4302902337399,34.3453979653395
"54",12.5537299070059,17.468570399792,23.3006315413089,34.6181869143505
"55",11.4032103058322,16.8336541090905,24.0151959833942,33.9648851971227
"56",10.9331847078217,16.808960172073,24.0939111957325,33.9888668567881
"57",12.1664632878606,17.3394916846058,24.2796339687998,34.3825226252443
"58",12.2754020864711,17.0098012859608,23.7372560053034,33.3687268169034
"59",12.1192957144006,17.2213770316662,23.6567511333039,34.2301460293324
"60",12.235097160821,17.8498550076285,23.8454080888869,33.7068835072198
"61",10.3426558526181,16.8453400542064,24.3582067691076,34.3324981217138
"62",11.7815808872132,17.246779561297,24.7369638608369,33.143359111468
"63",12.0292226032448,17.7739904399044,23.760122735585,34.287238482964
"64",11.3911142028055,16.0210057726139,23.8949252018574,33.3105197475058
"65",11.9255621707683,17.2890222607866,24.3178441157932,33.6397654709613
